Date,Value
2015-04-30,1204.3
2015-04-29,1204.8
2015-04-28,1201.4
2015-04-27,1182.75
2015-04-24,1192.15
2015-04-23,1187.75
2015-04-22,1202.4
2015-04-21,1197.7
2015-04-20,1203.25
2015-04-17,1204.55
2015-04-16,1204.6
2015-04-15,1189.85
2015-04-14,1191.45
2015-04-13,1197.85
2015-04-10,1201.9
2015-04-09,1196.0
2015-04-08,1211.1
2015-04-07,1208.5
2015-04-02,1201.5
2015-04-01,1181.25
2015-03-31,1179.25
2015-03-30,1187.4
2015-03-27,1198.0
2015-03-26,1209.4
2015-03-25,1192.55
2015-03-24,1193.25
2015-03-23,1181.4
2015-03-20,1171.75
2015-03-19,1164.0
2015-03-18,1149.0
2015-03-17,1154.75
2015-03-16,1157.0
2015-03-13,1156.5
2015-03-12,1161.25
2015-03-11,1158.75
2015-03-10,1161.0
2015-03-09,1173.75
2015-03-06,1196.5
2015-03-05,1199.75
2015-03-04,1204.25
2015-03-03,1207.75
2015-03-02,1216.75
2015-02-27,1205.0
2015-02-26,1220.0
2015-02-25,1206.5
2015-02-24,1195.5
2015-02-23,1193.5
2015-02-20,1203.5
2015-02-19,1217.75
2015-02-18,1206.5
2015-02-17,1221.75
2015-02-16,1233.5
2015-02-13,1225.75
2015-02-12,1225.25
2015-02-11,1235.5
2015-02-10,1237.5
2015-02-09,1242.25
2015-02-06,1264.0
2015-02-05,1263.75
2015-02-04,1269.25
2015-02-03,1281.0
2015-02-02,1274.25
2015-01-30,1263.5
2015-01-29,1275.5
2015-01-28,1287.0
2015-01-27,1279.0
2015-01-26,1282.75
2015-01-23,1293.5
2015-01-22,1287.0
2015-01-21,1298.0
2015-01-20,1292.25
2015-01-19,1275.5
2015-01-16,1258.25
2015-01-15,1235.25
2015-01-14,1228.75
2015-01-13,1239.0
2015-01-12,1222.0
2015-01-09,1211.25
2015-01-08,1206.5
2015-01-07,1213.75
2015-01-06,1211.0
2015-01-05,1192.0
2015-01-02,1184.25
